region_name,brand_name,buy_price,sell_price,spread,capture_timestamp
TP. Hồ Chí Minh,SJC,150900,152900,2000,2025-11-25 10:38:40
TP. Hồ Chí Minh,PNJ,150900,152900,2000,2025-11-25 10:38:40
TP. Hồ Chí Minh,DOJI,150900,152900,2000,2025-11-25 10:38:40
TP. Hồ Chí Minh,Mi Hồng,151000,152900,1900,2025-11-25 10:38:40
TP. Hồ Chí Minh,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:38:40
Miền Bắc,SJC,150900,152900,2000,2025-11-25 10:38:40
Hạ Long,SJC,150900,152900,2000,2025-11-25 10:38:40
Hải Phòng,SJC,150900,152900,2000,2025-11-25 10:38:40
Miền Trung,SJC,150900,152900,2000,2025-11-25 10:38:40
Huế,SJC,150900,152900,2000,2025-11-25 10:38:40
Quảng Ngãi,SJC,150900,152900,2000,2025-11-25 10:38:40
Nha Trang,SJC,150900,152900,2000,2025-11-25 10:38:40
Biên Hòa,SJC,150900,152900,2000,2025-11-25 10:38:40
Miền Tây,SJC,150900,152900,2000,2025-11-25 10:38:40
Miền Tây,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:38:40
Bạc Liêu,SJC,150900,152900,2000,2025-11-25 10:38:40
Cà Mau,SJC,150900,152900,2000,2025-11-25 10:38:40
Hà Nội,PNJ,150900,152900,2000,2025-11-25 10:38:40
Hà Nội,DOJI,150900,152900,2000,2025-11-25 10:38:40
Hà Nội,Bảo Tín Minh Châu,151400,152900,1500,2025-11-25 10:38:40
Hà Nội,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 10:38:40
Hà Nội,Phú Quý,150400,152900,2500,2025-11-25 10:38:40
Đà Nẵng,PNJ,150900,152900,2000,2025-11-25 10:38:40
Đà Nẵng,DOJI,150900,152900,2000,2025-11-25 10:38:40
Miền Tây,PNJ,150900,152900,2000,2025-11-25 10:38:40
Tây Nguyên,PNJ,150900,152900,2000,2025-11-25 10:38:40
Đông Nam Bộ,PNJ,150900,152900,2000,2025-11-25 10:38:40
Đông Nam Bộ,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:38:40
Bắc Ninh,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 10:38:40
Hải Dương,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 10:38:40
